Movie name,Movie rate,Description,Creators,Trailer link,More Info
Bridgerton,7.4,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",Creator:Chris Van Dusen ,https://www.imdb.com/video/vi1696252185/?ref_=watch_pop_tr_vp_1,https://www.imdb.com/title/tt8740790/?ref_=watch_pop_tt_1
Cobra Kai,8.6,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Stars:Ralph Macchio, William Zabka, Courtney Henggeler |See full cast & crew     ",https://www.imdb.com/video/vi4195926297/?ref_=watch_pop_tr_vp_2,https://www.imdb.com/title/tt7221388/?ref_=watch_pop_tt_2
Lupin,7.7,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.","Stars:Omar Sy, Vincent Londez, Ludivine Sagnier |See full cast & crew     ",https://www.imdb.com/video/vi3849568537/?ref_=watch_pop_tr_vp_3,https://www.imdb.com/title/tt2531336/?ref_=watch_pop_tt_3
Vikings,8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",Creator:Michael Hirst ,https://www.imdb.com/video/vi3793207577/?ref_=watch_pop_tr_vp_4,https://www.imdb.com/title/tt2306299/?ref_=watch_pop_tt_4
The Mandalorian,8.8,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",Creator:Jon Favreau ,https://www.imdb.com/video/vi1579860249/?ref_=watch_pop_tr_vp_5,https://www.imdb.com/title/tt8111088/?ref_=watch_pop_tt_5
Pieces of a Woman,7.1,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",Director:Kornél Mundruczó ,https://www.imdb.com/video/vi2316157209/?ref_=watch_pop_tr_vp_6,https://www.imdb.com/title/tt11161474/?ref_=watch_pop_tt_6
Soul,8.1,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","Directors:Pete Docter, Kemp Powers (co-director)    ",https://www.imdb.com/video/vi2905456921/?ref_=watch_pop_tr_vp_7,https://www.imdb.com/title/tt2948372/?ref_=watch_pop_tt_7
A Discovery of Witches,8.1,"Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires.","Stars:Matthew Goode, Teresa Palmer, Gregg Chillin |See full cast & crew     ",https://www.imdb.com/video/vi4023697689/?ref_=watch_pop_tr_vp_8,https://www.imdb.com/title/tt2177461/?ref_=watch_pop_tt_8
Attack on Titan,8.9,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Stars:Yûki Kaji, Marina Inoue, Yui Ishikawa |See full cast & crew     ",https://www.imdb.com/video/vi2221128729/?ref_=watch_pop_tr_vp_9,https://www.imdb.com/title/tt2560140/?ref_=watch_pop_tt_9
Wonder Woman 1984,5.4,"Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",Director:Patty Jenkins ,https://www.imdb.com/video/vi2165358873/?ref_=watch_pop_tr_vp_10,https://www.imdb.com/title/tt7126948/?ref_=watch_pop_tt_10
